Frame,box1,box2,box3,box4,score,class
JU15B_MEA_60000_4_078,0.44648146629333496,0.4482671320438385,0.4658028483390808,0.46693381667137146,0.9998133182525635,1.0
JU15B_MEA_60000_4_078,0.3469766080379486,0.42795878648757935,0.36645302176475525,0.45317327976226807,0.9991565942764282,1.0
JU15B_MEA_60000_4_078,0.2486887127161026,0.43752431869506836,0.2637721598148346,0.46034854650497437,0.9989996552467346,1.0
JU15B_MEA_60000_4_078,0.17765094339847565,0.4309978187084198,0.19440366327762604,0.4529689848423004,0.9973869323730469,1.0
JU15B_MEA_60000_4_078,0.7943522334098816,0.3346813917160034,0.817972719669342,0.3727646470069885,0.9955728054046631,1.0
JU15B_MEA_60000_4_078,0.5383064150810242,0.29050174355506897,0.5657580494880676,0.3290986120700836,0.9943455457687378,1.0
JU15B_MEA_60000_4_078,0.41395455598831177,0.5174497961997986,0.43189793825149536,0.536112368106842,0.9868743419647217,1.0
JU15B_MEA_60000_4_078,0.062066443264484406,0.4611542820930481,0.0842851772904396,0.48592036962509155,0.9846624135971069,1.0
JU15B_MEA_60000_4_078,0.06309887021780014,0.4813319444656372,0.08393893390893936,0.5049294233322144,0.9821193218231201,1.0
JU15B_MEA_60000_4_078,0.36860960721969604,0.22402814030647278,0.41055744886398315,0.2649819850921631,0.9728623628616333,1.0
JU15B_MEA_60000_4_078,0.1334715485572815,0.47653570771217346,0.1499146819114685,0.4994252026081085,0.9511035680770874,1.0
JU15B_MEA_60000_4_078,0.826863706111908,0.4167720377445221,0.8494427800178528,0.44828328490257263,0.9034698009490967,1.0
JU15B_MEA_60000_4_078,0.019661489874124527,0.3681017756462097,0.04843468591570854,0.3998739719390869,0.8828112483024597,1.0
JU15B_MEA_60000_4_078,0.4556933641433716,0.5068207383155823,0.4714716076850891,0.522454559803009,0.842521071434021,1.0
JU15B_MEA_60000_4_078,0.13653014600276947,0.45760515332221985,0.1530960351228714,0.47875669598579407,0.8299932479858398,1.0
JU15B_MEA_60000_4_078,0.8052067756652832,0.5397725701332092,0.8260104656219482,0.5580151677131653,0.7516438961029053,1.0
JU15B_MEA_60000_4_078,0.9721459746360779,0.2941388189792633,0.9958506226539612,0.32261887192726135,0.7298783659934998,1.0
JU15B_MEA_60000_4_078,0.6971979737281799,0.28454697132110596,0.7224120497703552,0.3156440854072571,0.660488486289978,1.0
JU15B_MEA_60000_4_078,0.709585964679718,0.5210938453674316,0.7287647128105164,0.5382856130599976,0.6479653716087341,1.0
JU15B_MEA_60000_4_078,0.29014474153518677,0.3870595395565033,0.3083150386810303,0.41332170367240906,0.5979284048080444,1.0
JU15B_MEA_60000_4_078,0.7808842658996582,0.5369881987571716,0.802936315536499,0.5569577813148499,0.45091012120246887,1.0
JU15B_MEA_60000_4_078,0.9561583995819092,0.16563765704631805,0.9942648410797119,0.20371343195438385,0.4221644997596741,1.0
